species	island	bill_length_mm	bill_depth_mm	flipper_length_mm	body_mass_g	sex	year
Gentoo	Biscoe	47.2	15.5	215	4975	female	2009
Gentoo	Biscoe	41.7	14.7	210	4700	female	2009
Gentoo	Biscoe	43.3	14	208	4575	female	2009
Gentoo	Biscoe	50.5	15.2	216	5000	female	2009
Gentoo	Biscoe	43.5	15.2	213	4650	female	2009
Gentoo	Biscoe	46.2	14.1	217	4375	female	2009
Gentoo	Biscoe	47.2	13.7	214	4925	female	2009
Gentoo	Biscoe	46.8	14.3	215	4850	female	2009
Gentoo	Biscoe	45.2	14.8	212	5200	female	2009
Chinstrap	Dream	46.5	17.9	192	3500	female	2007
Chinstrap	Dream	45.4	18.7	188	3525	female	2007
Chinstrap	Dream	45.2	17.8	198	3950	female	2007
Chinstrap	Dream	46.1	18.2	178	3250	female	2007
Chinstrap	Dream	46	18.9	195	4150	female	2007
Chinstrap	Dream	46.6	17.8	193	3800	female	2007
Chinstrap	Dream	47	17.3	185	3700	female	2007
Chinstrap	Dream	45.9	17.1	190	3575	female	2007
Chinstrap	Dream	58	17.8	181	3700	female	2007
Chinstrap	Dream	46.4	18.6	190	3450	female	2007
Chinstrap	Dream	42.4	17.3	181	3600	female	2007
Chinstrap	Dream	43.2	16.6	187	2900	female	2007
Chinstrap	Dream	46.7	17.9	195	3300	female	2007
Chinstrap	Dream	50.5	18.4	200	3400	female	2008
Chinstrap	Dream	46.4	17.8	191	3700	female	2008
Chinstrap	Dream	40.9	16.6	187	3200	female	2008
Chinstrap	Dream	42.5	16.7	187	3350	female	2008
Chinstrap	Dream	47.5	16.8	199	3900	female	2008
Chinstrap	Dream	47.6	18.3	195	3850	female	2008
Chinstrap	Dream	46.9	16.6	192	2700	female	2008
Chinstrap	Dream	46.2	17.5	187	3650	female	2008
Chinstrap	Dream	45.5	17	196	3500	female	2008
Chinstrap	Dream	50.9	17.9	196	3675	female	2009
Chinstrap	Dream	50.1	17.9	190	3400	female	2009
Chinstrap	Dream	49.8	17.3	198	3675	female	2009
Chinstrap	Dream	48.1	16.4	199	3325	female	2009
Chinstrap	Dream	45.7	17.3	193	3600	female	2009
Chinstrap	Dream	42.5	17.3	187	3350	female	2009
Chinstrap	Dream	45.2	16.6	191	3250	female	2009
Chinstrap	Dream	45.6	19.4	194	3525	female	2009
Chinstrap	Dream	46.8	16.5	189	3650	female	2009
Chinstrap	Dream	45.7	17	195	3650	female	2009
Chinstrap	Dream	43.5	18.1	202	3400	female	2009
Chinstrap	Dream	50.2	18.7	198	3775	female	2009
